Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
123,123,59,"['jett', 'raze', 'omen']",319,1.08,237.6,1.07,67%,162.7,0.83,0.16,0.16,0.17,27%,26%,,,264,246,52,51,54
1kuzohh,Rebirth Esports,93,"['raze', 'jett', 'kayo', 'reyna']",216,1.12,263.2,1.19,70%,168.8,0.90,0.16,0.22,0.21,24%,N/A,,,195,164,35,48,45
7ssk7,NASR Esports,307,"['jett', 'breach', 'reyna']",1115,1.13,191.0,1.12,78%,121.7,0.70,0.49,0.06,0.06,31%,11%,,,775,691,541,72,70
972,Unknown,71,"['omen', 'sova', 'breach', 'brimstone', 'viper']",438,0.95,175.6,0.91,68%,114.4,0.64,0.34,0.06,0.07,33%,9%,,,282,311,148,25,31
999kvmil,EX0TIK GAMING,208,"['raze', 'jett', 'sova', 'reyna', 'kayo']",519,0.97,190.5,0.92,70%,128.3,0.66,0.27,0.08,0.08,27%,12%,,,342,370,141,42,39
a1mly,Unknown,258,"['killjoy', 'cypher', 'viper', 'yoru']",1188,0.95,198.3,0.96,67%,134.9,0.71,0.18,0.11,0.12,32%,15%,,,840,878,209,127,148
aace,RIDDLE ORDER,49,"['omen', 'viper', 'raze']",704,1.01,193.1,1.07,72%,129.1,0.73,0.29,0.06,0.06,32%,16%,,,517,484,203,40,45
absol,Murash Gaming,78,"['jett', 'raze', 'phoenix', 'yoru']",962,1.00,218.2,1.00,69%,143.0,0.76,0.21,0.16,0.14,19%,24%,,,731,733,202,155,136
acerola,LAZY,105,"['omen', 'viper', 'killjoy', 'sage', 'kayo']",232,0.97,182.6,0.90,66%,122.3,0.65,0.26,0.06,0.08,31%,9%,,,150,166,60,14,18
acetics,Sharper Esport,407,"['sova', 'raze', 'fade', 'skye', 'sage']",544,0.88,180.4,0.83,69%,124.4,0.64,0.25,0.08,0.09,35%,12%,,,348,421,136,41,51
achrf,Onyx Ravens,263,"['sova', 'breach', 'skye', 'gekko', 'viper']",910,0.98,187.7,0.95,73%,125.8,0.65,0.29,0.06,0.08,25%,10%,,,596,628,267,59,69
acrian,Ambrosia,388,"['killjoy', 'cypher', 'jett', 'chamber', 'viper']",796,0.99,198.8,1.01,71%,135.0,0.69,0.19,0.08,0.08,24%,18%,,,550,547,155,62,65
add3r,Unknown,648,"['skye', 'killjoy', 'kayo', 'chamber', 'cypher']",923,0.93,187.8,0.94,67%,125.7,0.67,0.24,0.08,0.11,31%,16%,,,618,660,219,75,102
addicted,Unknown,327,"['sova', 'breach', 'gekko', 'sage']",769,1.10,187.5,1.12,73%,127.4,0.68,0.28,0.07,0.06,33%,15%,,,522,465,215,51,45
adelano,Slaughtergang,118,"['omen', 'gekko', 'viper', 'cypher', 'brimstone']",336,0.97,187.6,0.97,69%,126.7,0.68,0.34,0.06,0.08,28%,3%,,,229,237,114,20,28
adm1k,Incognito,360,"['viper', 'sage', 'kayo', 'sova', 'cypher']",461,0.77,172.4,0.70,70%,120.4,0.55,0.33,0.07,0.15,22%,6%,,,252,362,154,31,67
adrianl,Unknown,87,"['jett', 'raze', 'cypher', 'neon', 'killjoy']",253,0.83,175.4,0.83,66%,117.0,0.63,0.13,0.09,0.09,44%,9%,,,159,191,33,22,24
adrnking,SCARZ,346,"['skye', 'breach', 'kayo', 'reyna', 'killjoy']",925,1.04,201.3,1.05,74%,135.1,0.73,0.26,0.09,0.08,32%,12%,,,673,640,244,80,75
aduka,Unknown,269,"['jett', 'killjoy', 'cypher', 'reyna', 'sova']",517,1.05,203.3,1.02,73%,133.6,0.71,0.29,0.10,0.10,26%,20%,,,369,362,149,51,51
adverso,All Knights,331,"['sova', 'viper', 'breach', 'reyna']",1427,1.07,208.6,1.05,73%,137.6,0.70,0.37,0.09,0.10,24%,17%,,,1004,954,526,131,139
aeonyx,OLD STINKY CAT,84,"['killjoy', 'cypher', 'sage', 'brimstone']",399,0.80,173.5,0.76,64%,118.6,0.59,0.18,0.08,0.09,27%,11%,,,237,311,73,30,37
aimdll,Gamax Esports,217,"['cypher', 'killjoy', 'viper']",640,1.08,209.5,1.09,69%,139.2,0.76,0.20,0.08,0.06,34%,20%,,,487,448,127,53,38
aimhunterr,Unknown,196,"['jett', 'raze', 'skye', 'reyna']",524,0.91,218.4,0.91,64%,146.2,0.74,0.19,0.15,0.21,25%,13%,,,387,427,100,81,110
akai,Unknown,220,"['raze', 'jett']",1341,1.21,277.4,1.34,72%,177.3,0.96,0.17,0.20,0.17,27%,24%,,,1294,969,234,274,234
akame,Unknown,132,"['jett', 'sova', 'raze', 'sage', 'harbor']",771,1.10,247.5,1.16,71%,162.4,0.86,0.20,0.19,0.15,22%,12%,,,665,575,151,147,112
akashi,LAZY,299,"['sova', 'fade', 'skye', 'breach']",275,0.68,147.1,0.63,59%,97.3,0.49,0.25,0.06,0.08,20%,12%,,,136,217,69,17,21
akira,Melilla Titans,155,"['sova', 'viper', 'fade', 'sage']",612,1.00,193.1,0.94,70%,131.5,0.69,0.26,0.06,0.07,27%,21%,,,420,446,161,37,42
akumaaaaa,Mandatory,352,"['breach', 'astra', 'sova', 'omen', 'skye']",763,1.09,225.7,1.09,72%,149.3,0.80,0.33,0.12,0.11,37%,15%,,,613,564,254,94,83
al0rante,FOKUS,282,"['raze', 'reyna', 'killjoy', 'viper', 'cypher']",869,1.11,219.5,1.15,69%,145.4,0.78,0.21,0.08,0.07,41%,14%,,,677,588,181,66,62
al1en,VCL REJECTS 2.0,260,"['omen', 'viper', 'astra', 'killjoy', 'brimstone']",215,0.80,169.4,0.74,67%,111.3,0.58,0.30,0.08,0.09,26%,4%,,,125,169,65,17,19
alannn,NOVO Esports,108,"['killjoy', 'chamber', 'skye', 'cypher', 'raze']",823,0.98,197.4,1.00,71%,131.8,0.71,0.20,0.08,0.10,33%,17%,,,586,586,163,68,86
albus,Rapid Lofi,97,"['jett', 'sova', 'cypher', 'raze', 'skye']",338,0.77,163.6,0.74,66%,111.3,0.57,0.27,0.06,0.08,28%,11%,,,193,261,92,21,27
alert,XERXIA Esports,340,"['jett', 'killjoy', 'raze', 'cypher', 'sova']",900,0.98,199.6,0.97,70%,133.2,0.69,0.20,0.10,0.09,29%,19%,,,625,646,178,91,85
alexiiik,GoNext Esports,223,"['jett', 'raze']",1093,1.06,234.8,1.17,69%,149.7,0.85,0.15,0.21,0.18,30%,14%,,,925,790,169,230,199
alexis,Shopify Rebellion,487,"['skye', 'breach', 'kayo', 'sage']",323,0.82,153.4,0.73,71%,93.8,0.53,0.54,0.05,0.08,25%,13%,,,171,234,173,17,25
ale,OnlyFins,342,"['raze', 'skye', 'jett', 'reyna', 'kayo']",603,1.09,227.0,1.12,73%,149.9,0.81,0.22,0.18,0.18,24%,16%,,,486,433,132,111,109
alive,Unknown,494,"['jett', 'raze', 'chamber']",995,1.07,219.5,1.09,69%,147.2,0.77,0.18,0.15,0.14,26%,10%,,,764,700,175,147,141
aljadi,Fraggerz,104,"['jett', 'killjoy', 'omen', 'raze', 'sage']",475,0.93,207.0,0.95,61%,140.3,0.75,0.12,0.12,0.12,30%,10%,,,354,372,59,56,59
all3y,Unknown,164,"['jett', 'chamber', 'raze', 'killjoy', 'cypher']",502,1.06,232.2,1.14,68%,147.0,0.83,0.10,0.21,0.18,31%,21%,,,418,367,49,106,88
allen,BC SWELL,133,"['omen', 'viper', 'killjoy', 'astra', 'breach']",286,0.75,164.5,0.69,68%,111.3,0.53,0.31,0.06,0.10,22%,3%,,,152,219,89,18,30
allow,Unknown,214,"['jett', 'raze', 'neon']",295,0.94,207.9,0.92,65%,147.2,0.71,0.21,0.09,0.15,31%,13%,,,210,228,61,26,43
allr1ghtt,XOXO-01,32,"['viper', 'sova', 'kayo', 'fade']",220,0.66,148.8,0.62,62%,100.4,0.50,0.26,0.07,0.10,30%,6%,,,111,178,57,15,21
