Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
2ge,Team Secret,178,"['astra', 'viper', 'omen', 'skye']",404,1.00,168.6,0.94,74%,112.7,0.62,0.44,0.03,0.06,29%,16%,,,249,264,176,13,25
aaaay,FunPlus Phoenix,272,"['skye', 'gekko', 'chamber', 'fade', 'jett']",425,1.22,202.7,1.05,73%,147.4,0.74,0.27,0.01,0.07,39%,18%,,,313,299,116,1,6
abo,Titan Esports Club,133,"['viper', 'chamber', 'jett', 'raze', 'killjoy']",328,1.19,213.9,1.04,74%,153.3,0.74,0.24,0.23,0.14,29%,N/A,,,244,235,79,15,6
alfajer,FNATIC,294,"['killjoy', 'raze', 'cypher', 'chamber', 'viper']",1175,1.21,221.8,1.38,76%,148.1,0.82,0.17,0.11,0.07,28%,15%,,,967,702,202,124,86
ange1,Natus Vincere,332,"['omen', 'brimstone', 'viper', 'sova']",1003,0.80,175.7,0.78,70%,114.2,0.60,0.33,0.12,0.13,29%,14%,,,600,766,331,125,128
anthem,DetonatioN FocusMe,118,"['jett', 'skye', 'sova', 'raze', 'killjoy']",410,0.93,184.1,0.88,73%,125.1,0.62,0.34,0.05,0.10,27%,16%,,,255,290,138,21,41
ardiis,Natus Vincere,364,"['sova', 'jett', 'chamber', 'raze', 'kayo']",1351,1.02,216.1,1.07,72%,143.4,0.74,0.24,0.18,0.14,19%,13%,,,1003,938,318,239,181
aslanm4shadow,S2G Esports,246,"['omen', 'sage', 'astra', 'jett', 'killjoy']",329,0.92,196.9,0.94,67%,134.1,0.71,0.14,0.09,0.11,27%,18%,,,234,249,47,28,36
aspas,LEVIATÁN,342,"['jett', 'raze', 'reyna', 'neon']",1504,1.19,239.0,1.30,75%,153.5,0.87,0.17,0.17,0.11,25%,18%,,,1307,1002,257,258,172
asuna,100 Thieves,434,"['raze', 'reyna', 'kayo', 'phoenix', 'skye']",693,1.02,200.1,0.93,73%,131.4,0.67,0.40,0.09,0.10,21%,12%,,,465,499,280,59,70
atakaptan,FUT Esports,318,"['viper', 'omen', 'brimstone', 'astra']",969,0.97,186.1,0.93,72%,119.5,0.65,0.42,0.07,0.09,28%,18%,,,628,675,407,67,90
avova,Apeks,370,"['omen', 'astra', 'viper', 'brimstone']",389,0.92,170.3,0.81,68%,110.3,0.61,0.34,0.05,0.09,24%,14%,,,237,292,134,20,34
ayrin,Unknown,329,"['raze', 'viper', 'killjoy', 'cypher', 'astra']",465,0.82,171.1,0.81,67%,110.6,0.58,0.27,0.06,0.09,20%,16%,,,270,335,124,30,41
bang,Unknown,422,"['omen', 'viper', 'skye', 'astra', 'raze']",693,0.98,188.0,0.95,73%,124.5,0.67,0.37,0.08,0.09,32%,19%,,,464,490,257,57,65
ban,Talon Esports,433,"['jett', 'skye', 'reyna', 'sage', 'chamber']",886,0.88,180.1,0.89,69%,114.3,0.64,0.29,0.10,0.10,25%,14%,,,566,639,254,86,87
bazzi,Unknown,200,"['jett', 'breach', 'raze', 'sova', 'skye']",465,0.98,191.2,0.90,76%,123.4,0.63,0.46,0.06,0.04,17%,11%,,,292,326,215,27,20
berlin,FunPlus Phoenix,366,"['raze', 'fade', 'sova', 'astra', 'omen']",425,0.68,196.0,0.90,65%,106.1,0.65,0.40,0.12,0.13,37%,N/A,,,278,308,171,10,11
