Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
6sonya,Odd 1 OUT,260,"['sova', 'fade', 'breach', 'skye']",897,0.99,188.6,0.93,68%,123.4,0.67,0.34,0.08,0.08,29%,13%,,,602,645,301,76,72
a1ka,Unknown,76,"['killjoy', 'cypher', 'chamber']",284,1.07,210.2,1.03,69%,147.2,0.71,0.15,0.13,0.09,23%,23%,,,202,196,44,36,25
aco,ZETA DIVISION GC,73,"['skye', 'sova', 'kayo', 'fade', 'omen']",590,0.99,197.3,1.02,73%,126.2,0.68,0.40,0.07,0.07,21%,13%,,,401,393,235,43,41
addi,RIZON Sugar,82,"['sova', 'jett', 'raze', 'skye', 'neon']",263,0.90,184.3,0.86,68%,120.9,0.66,0.27,0.09,0.08,21%,7%,,,174,202,71,23,22
adenina,9z Team GC,131,"['kayo', 'astra', 'sova', 'fade', 'skye']",316,0.94,176.1,0.81,71%,116.7,0.61,0.45,0.06,0.08,25%,N/A,,,193,239,143,20,26
adora,HEROIC Valkyries,114,"['raze', 'jett', 'reyna']",435,1.18,267.1,1.22,71%,174.2,0.92,0.17,0.21,0.14,31%,11%,,,401,328,73,91,60
aisling,4Fun,159,"['astra', 'omen', 'brimstone', 'viper', 'sova']",1233,1.01,178.8,0.94,74%,114.7,0.63,0.48,0.07,0.07,20%,17%,,,771,816,586,82,88
aivy,DIS Estrada,98,"['jett', 'raze', 'killjoy', 'viper']",474,0.83,197.5,0.85,63%,130.5,0.68,0.18,0.15,0.17,26%,16%,,,321,378,85,69,80
alessia,MAD Lions KOI,107,"['killjoy', 'chamber', 'cypher', 'jett']",377,0.92,181.7,0.93,66%,125.5,0.65,0.12,0.10,0.08,31%,8%,,,244,263,47,37,30
alexaishot,KS Hunters,107,"['kayo', 'raze', 'gekko', 'jett', 'viper']",320,1.08,212.5,1.17,69%,138.2,0.78,0.24,0.13,0.13,17%,21%,,,250,214,78,40,42
alexis,Shopify Rebellion,487,"['skye', 'breach', 'kayo', 'sage']",986,1.10,175.1,1.08,83%,111.7,0.61,0.60,0.05,0.05,30%,13%,,,601,559,595,49,51
alexy,Xipto Esports,196,"['jett', 'raze', 'skye', 'kayo', 'sova']",1262,1.33,245.9,1.52,81%,163.7,0.89,0.33,0.14,0.07,28%,30%,,,1128,742,412,178,90
aley,RUH TUZU,50,"['sova', 'breach', 'fade', 'skye']",213,0.65,159.1,0.62,59%,107.9,0.54,0.24,0.07,0.11,22%,8%,,,115,185,51,14,24
alkyia,BBL Queens,157,"['jett', 'raze']",1332,0.98,228.4,1.08,70%,148.3,0.80,0.18,0.24,0.19,26%,19%,,,1064,984,236,318,256
allie,LEVIATÁN GC,63,"['omen', 'kayo', 'breach', 'viper', 'raze']",206,0.76,149.6,0.70,62%,99.9,0.53,0.29,0.04,0.09,38%,12%,,,109,156,60,9,19
alluka,BOBA,191,"['raze', 'kayo', 'breach', 'reyna', 'chamber']",1354,1.18,227.9,1.15,79%,149.2,0.78,0.50,0.10,0.07,20%,16%,,,1051,913,677,137,100
alyssa,Killer Angel Girls ESC,149,"['sova', 'jett', 'killjoy', 'sage', 'skye']",339,1.04,205.4,1.09,74%,138.8,0.73,0.22,0.10,0.10,30%,8%,,,246,226,73,33,35
amber,Euphoria,133,"['sova', 'viper', 'fade']",231,1.07,221.1,1.03,70%,150.8,0.78,0.30,0.10,0.13,24%,19%,,,181,176,69,24,30
amy,G2 Gozen,238,"['killjoy', 'cypher', 'viper', 'brimstone', 'astra']",1518,1.19,234.9,1.30,72%,157.5,0.86,0.13,0.11,0.09,35%,16%,,,1306,1005,202,168,140
andrehs,Akave Esports GC,172,"['sova', 'breach', 'skye', 'kayo', 'brimstone']",282,0.82,153.2,0.72,73%,97.6,0.49,0.44,0.07,0.11,22%,22%,,,138,192,125,20,32
anesilia,BLVKHVND,105,"['skye', 'breach', 'killjoy', 'kayo', 'fade']",509,1.18,222.0,1.09,76%,148.2,0.75,0.42,0.07,0.06,23%,18%,,,381,351,215,38,33
angela,invincible gc,113,"['raze', 'jett', 'kayo', 'chamber', 'breach']",366,0.91,209.8,0.96,70%,135.0,0.75,0.17,0.17,0.21,22%,N/A,,,273,283,62,63,77
angelka,FOG Vortex,190,"['jett', 'omen', 'raze', 'brimstone', 'astra']",465,0.81,168.0,0.68,67%,111.7,0.55,0.43,0.05,0.08,22%,9%,,,257,378,198,25,36
angel,MYVRA,155,"['viper', 'skye', 'breach', 'kayo', 'sova']",269,0.71,151.7,0.63,62%,97.3,0.49,0.30,0.08,0.10,27%,9%,,,132,211,81,21,27
angil,Unknown,78,"['viper', 'omen', 'astra', 'killjoy', 'brimstone']",298,0.83,161.1,0.76,68%,106.0,0.56,0.33,0.08,0.08,19%,16%,,,166,219,97,23,24
aninha,Unknown,218,"['killjoy', 'viper', 'sage', 'breach', 'omen']",629,0.88,168.9,0.84,69%,118.8,0.56,0.19,0.06,0.07,17%,11%,,,352,417,121,35,45
annie,Odd 1 OUT,199,"['killjoy', 'chamber', 'cypher', 'jett', 'raze']",906,1.01,216.0,1.04,69%,139.9,0.75,0.14,0.14,0.11,32%,8%,,,681,654,131,123,96
anninha,DREAMMAX,86,"['sova', 'fade', 'omen', 'skye', 'sage']",304,0.76,158.8,0.71,63%,107.8,0.54,0.29,0.06,0.13,29%,9%,,,165,234,88,18,41
annja,Unknown,233,"['jett', 'sage', 'raze', 'kayo', 'omen']",1164,1.17,245.1,1.21,74%,161.8,0.87,0.27,0.13,0.11,30%,12%,,,1014,835,310,153,127
antg,LOUD GC,303,"['skye', 'kayo', 'raze', 'fade', 'omen']",698,1.07,210.8,1.07,77%,133.7,0.75,0.42,0.10,0.09,29%,11%,,,521,488,293,67,64
anva,BLVKHVND,182,"['sova', 'skye', 'raze', 'jett', 'killjoy']",595,1.07,220.2,1.06,70%,144.3,0.76,0.21,0.08,0.08,22%,7%,,,452,428,126,49,46
apagam,QLASH Syrax,55,"['jett', 'raze', 'yoru', 'neon']",221,0.77,180.9,0.78,62%,117.2,0.62,0.15,0.18,0.20,20%,15%,,,136,174,34,40,44
aphel,Unknown,46,"['killjoy', 'cypher', 'sova', 'sage', 'fade']",246,0.74,153.5,0.73,64%,101.8,0.54,0.20,0.07,0.06,23%,13%,,,132,180,50,16,15
aranel,Unknown,56,"['killjoy', 'brimstone', 'viper', 'gekko', 'skye']",349,1.06,201.0,0.98,71%,133.6,0.73,0.25,0.05,0.06,31%,13%,,,255,259,87,16,22
arial,Unknown,74,"['killjoy', 'viper', 'sova', 'astra']",246,0.77,168.5,0.73,61%,115.4,0.57,0.11,0.07,0.08,31%,4%,,,141,193,28,18,19
aria,Teddy Tactics,144,"['astra', 'breach', 'omen', 'kayo', 'viper']",217,0.68,178.0,0.68,65%,111.1,0.59,0.22,0.12,0.14,22%,6%,,,129,189,47,25,31
