TeamId,Name,Country,Wins,Loses,Winrate,GameChangerWins,GameChangerLoses,Region
1001,Team Heretics,Europe,53,6,0.898,N/A,N/A,Europe
10042,Colossal Black,United States,2,6,0.25,2,6,Game Changers
10052,REVIVAL,Game Changers,11,8,0.579,11,8,"[{'playerName': 'ayoeclipse', 'realName': 'Jaden Stone', 'role': 'player'}, {'playerName': 'rayne', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'KUDFPS', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Astrid', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Gill X2', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'jules', 'realName': 'N/A', 'role': 'player'}]"
10087,Team Digital,Canada,5,6,0.455,N/A,N/A,North America
10113,DRX Changers,Japan,8,4,0.667,8,4,Game Changers
10149,K10,United Kingdom,N/A,N/A,N/A,N/A,N/A,Europe
10182,Final Form Entertainment,United States,4,3,0.571,N/A,N/A,North America
10188,VALIANT,France,N/A,N/A,N/A,N/A,N/A,Europe
10289,bb.w7m,Brazil,2,2,0.5,2,2,Game Changers
10293,Bikini Bottom Pratahouse,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,"[{'playerName': 'DxN', 'realName': 'Gordon Lek', 'role': 'player'}, {'playerName': 'Moosey', 'realName': 'Yeow Zhen Feng', 'role': 'player'}, {'playerName': 'LEXY', 'realName': 'Lee Jun Hao Xavier', 'role': 'player'}, {'playerName': 'joshh', 'realName': 'Joshua Leow', 'role': 'player'}, {'playerName': 'inf', 'realName': 'Venneth Tay', 'role': 'player'}, {'playerName': 'grumble', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Shun', 'realName': 'Song Lin Han', 'role': 'player'}]"
10294,NEXGA,Asia-Pacific,18,11,0.621,N/A,N/A,"[{'playerName': 'aplycs', 'realName': 'Aqil Azfar', 'role': 'player'}, {'playerName': 'Impecunity', 'realName': 'Randy Yap', 'role': 'player'}, {'playerName': 'Mojo', 'realName': 'Thong Tao Jian', 'role': 'player'}, {'playerName': 'Hakka', 'realName': 'Raja Amirul bin Raja Badrin Shah', 'role': 'Sub'}]"
10295,Team Path,Asia-Pacific,8,14,0.364,N/A,N/A,"[{'playerName': 'zeeq', 'realName': 'Muhammad Hazeeq bin Shammim', 'role': 'player'}, {'playerName': 'Pecal', 'realName': 'Faishal Afiq', 'role': 'player'}, {'playerName': 'toggle', 'realName': 'Darwish Hakim', 'role': 'player'}, {'playerName': 'Wrath', 'realName': 'Dzul Hilmie', 'role': 'player'}, {'playerName': 'Rexxy', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'kye', 'realName': 'Hazim Salihuddin', 'role': 'Sub'}, {'playerName': 'Click', 'realName': 'Idzni Rosdi', 'role': 'coach'}]"
10298,xyz,Oceania,7,8,0.467,N/A,N/A,"[{'playerName': 'lg1c', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Alucard', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'maine', 'realName': 'N/A', 'role': 'player'}]"
10305,club penguin,Australia,14,14,0.5,N/A,N/A,Oceania
10307,Built For Greatness,Oceania,51,24,0.68,N/A,N/A,"[{'playerName': 'Asce', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'ubud', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'ZENZKI', 'realName': 'N/A', 'role': 'player'}]"
1033,Reckoning Esports,India,11,13,0.458,N/A,N/A,Asia-Pacific
1034,NRG Esports,United States,98,41,0.705,N/A,N/A,North America
10351,Vipers Clan,Philippines,N/A,N/A,N/A,N/A,N/A,"[{'playerName': 'Berger', 'realName': 'Carl Jhunver Macale', 'role': 'player'}, {'playerName': 'wes', 'realName': 'John Weslie G. Serdinola', 'role': 'player'}, {'playerName': 'Shintaro', 'realName': 'Mark Daryl Timbang Corpuz', 'role': 'player'}, {'playerName': 'Aeonz', 'realName': 'Alec Peñero', 'role': 'player'}, {'playerName': 'Ichisolo', 'realName': 'Cullen Cuevas', 'role': 'player'}, {'playerName': 'Emil', 'realName': 'Emil Ortega', 'role': 'player'}, {'playerName': 'modeskiii', 'realName': 'Matthew Bautista', 'role': 'coach'}]"
10356,AIM PH,Philippines,5,11,0.312,N/A,N/A,Asia-Pacific
10364,Des Moines DMG,North America,N/A,N/A,N/A,N/A,N/A,"[{'playerName': 'jas0n', 'realName': 'Jason Vo', 'role': 'player'}, {'playerName': 'Keta', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'felix', 'realName': 'Felix Ruisinger', 'role': 'player'}, {'playerName': 'RaijuACE', 'realName': 'Ahmad Khalil', 'role': 'player'}, {'playerName': 'bless', 'realName': 'Antonio Robinson', 'role': 'player'}, {'playerName': 'joy', 'realName': 'N/A', 'role': 'manager'}]"
10370,Chosen 1s,United States,10,20,0.333,N/A,N/A,North America
104,REJECT,Japan,46,32,0.59,N/A,N/A,Japan
10400,Tim Tài Trơ,Asia-Pacific,18,8,0.692,N/A,N/A,"[{'playerName': 'Redneval', 'realName': 'Le Quốc Khánh', 'role': 'player'}, {'playerName': 'viness', 'realName': 'Nguyễn Trung Tín', 'role': 'player'}, {'playerName': 'Juu', 'realName': 'Trần Thái Vỹ', 'role': 'player'}, {'playerName': 'Daicute', 'realName': 'Nguyễn Anh Minh Thông', 'role': 'player'}, {'playerName': 'BOSS', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'shouta', 'realName': 'Phạm Quang Thắng', 'role': 'coach'}]"
10408,CRIT Esports,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,"[{'playerName': 'maitee', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Reality', 'realName': 'N/A', 'role': 'player'}]"
10417,Formulation Gaming,Europe,6,5,0.545,N/A,N/A,Europe
10421,The Who?,Oceania,9,4,0.692,N/A,N/A,"[{'playerName': 'Bonobo', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'gloom', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Zauqk', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'vizsla', 'realName': 'Will Davies', 'role': 'player'}, {'playerName': 'Kilk', 'realName': 'N/A', 'role': 'analyst'}]"
10431,Underground Gaming,MENA,18,11,0.621,N/A,N/A,"[{'playerName': 'A1mly', 'realName': 'Ameen Dibis', 'role': 'player'}, {'playerName': 'alvar', 'realName': 'Khaled Abdullah', 'role': 'player'}, {'playerName': 'ShawateRR', 'realName': 'Mohammad Yousef', 'role': 'player'}, {'playerName': 'Mabuchi', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'shadow', 'realName': 'Khaled Sadeq', 'role': 'manager'}, {'playerName': 'Tenebra', 'realName': 'Alessandro Marenzi', 'role': 'head coach'}, {'playerName': 'N1kL', 'realName': 'Nikita Lysukha', 'role': 'assistant coach'}]"
10448,Winthrop University,United States,1,2,0.333,N/A,N/A,North America
10454,UMD Premier,United States,1,2,0.333,N/A,N/A,Collegiate
10460,Full Sail Armada,United States,N/A,N/A,N/A,N/A,N/A,"[{'playerName': 'Kairu', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Zuni', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'Devhaur', 'realName': 'Devin McLaughlin', 'role': 'player'}, {'playerName': 'y3lena', 'realName': 'N/A', 'role': 'player'}, {'playerName': 'KillWill', 'realName': 'William Carson', 'role': 'player'}, {'playerName': 'Delta', 'realName': 'N/A', 'role': 'player'}]"
10472,ODU Monarchs,United States,N/A,N/A,N/A,N/A,N/A,Collegiate
10493,Niner Esports,United States,0,3,0.0,N/A,N/A,Collegiate
10530,TAMU White,United States,3,3,0.5,N/A,N/A,Collegiate
10592,ROA Esport,Taiwan,5,7,0.417,N/A,N/A,Asia-Pacific
