Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
2ge,Team Secret,178,"['astra', 'viper', 'omen', 'skye']",404,1.0,168.6,0.94,74%,112.7,0.62,0.44,0.03,0.06,29%,16%,249,264,176,13,25,2023,False,1.0,0.77,0.58,Pacific,Pacific,Pacific
aaaay,FunPlus Phoenix,272,"['skye', 'gekko', 'chamber', 'fade', 'jett']",425,1.22,202.7,1.05,73%,147.4,0.74,0.27,0.01,0.07,39%,18%,313,299,116,1,6,2023,False,1.22,0.95,0.23,China,China,China
abo,Titan Esports Club,133,"['viper', 'chamber', 'jett', 'raze', 'killjoy']",328,1.19,213.9,1.04,74%,153.3,0.74,0.24,0.23,0.14,29%,,244,235,79,15,6,2023,True,1.19,0.89,0.21,China,China,China
alfajer,FNATIC,294,"['killjoy', 'raze', 'cypher', 'chamber', 'viper']",1175,1.21,221.8,1.38,76%,148.1,0.82,0.17,0.11,0.07,28%,15%,967,702,202,124,86,2023,False,1.21,1.1,0.11,EMEAS,EMEAS,EMEAS
ange1,Natus Vincere,332,"['omen', 'brimstone', 'viper', 'sova']",1003,0.8,175.7,0.78,70%,114.2,0.6,0.33,0.12,0.13,29%,14%,600,766,331,125,128,2023,True,0.8,0.71,0.46,EMEAS,EMEAS,EMEAS
anthem,DetonatioN FocusMe,118,"['jett', 'skye', 'sova', 'raze', 'killjoy']",410,0.93,184.1,0.88,73%,125.1,0.62,0.34,0.05,0.1,27%,16%,255,290,138,21,41,2023,False,0.93,0.72,0.44,Pacific,Pacific,Pacific
ardiis,Natus Vincere,364,"['sova', 'jett', 'chamber', 'raze', 'kayo']",1351,1.02,216.1,1.07,72%,143.4,0.74,0.24,0.18,0.14,19%,13%,1003,938,318,239,181,2023,False,1.02,0.94,0.21,EMEAS,EMEAS,EMEAS
aslanm4shadow,S2G Esports,246,"['omen', 'sage', 'astra', 'jett', 'killjoy']",329,0.92,196.9,0.94,67%,134.1,0.71,0.14,0.09,0.11,27%,18%,234,249,47,28,36,2023,False,0.92,0.68,0.17,EMEAS,EMEAS,EMEAS
aspas,LEVIATÁN,342,"['jett', 'raze', 'reyna', 'neon']",1504,1.19,239.0,1.3,75%,153.5,0.87,0.17,0.17,0.11,25%,18%,1307,1002,257,258,172,2023,False,1.19,1.12,0.08,Americas,Americas,Americas
asuna,100 Thieves,434,"['raze', 'reyna', 'kayo', 'phoenix', 'skye']",693,1.02,200.1,0.93,73%,131.4,0.67,0.4,0.09,0.1,21%,12%,465,499,280,59,70,2023,False,1.02,0.86,0.44,Americas,Americas,Americas
atakaptan,FUT Esports,318,"['viper', 'omen', 'brimstone', 'astra']",969,0.97,186.1,0.93,72%,119.5,0.65,0.42,0.07,0.09,28%,18%,628,675,407,67,90,2023,False,0.97,0.86,0.5,EMEAS,EMEAS,EMEAS
