Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
6sonya,Odd 1 OUT,260,"['sova', 'fade', 'breach', 'skye']",897,0.99,188.6,0.93,68%,123.4,0.67,0.34,0.08,0.08,29%,13%,602,645,301,76,72,2023,False,0.99,0.9,0.37,EMEAS,EMEAS,EMEAS
aco,ZETA DIVISION GC,73,"['skye', 'sova', 'kayo', 'fade', 'omen']",590,0.99,197.3,1.02,73%,126.2,0.68,0.4,0.07,0.07,21%,13%,401,393,235,43,41,2023,True,0.99,0.84,0.42,Pacific,Pacific,Pacific
adenina,9z Team GC,131,"['kayo', 'astra', 'sova', 'fade', 'skye']",316,0.94,176.1,0.81,71%,116.7,0.61,0.45,0.06,0.08,25%,,193,239,143,20,26,2023,True,0.94,0.72,0.62,GameChangers,GameChangers,GameChangers
adora,HEROIC Valkyries,114,"['raze', 'jett', 'reyna']",435,1.18,267.1,1.22,71%,174.2,0.92,0.17,0.21,0.14,31%,11%,401,328,73,91,60,2023,False,1.18,0.96,0.05,EMEAS,EMEAS,EMEAS
aisling,4Fun,159,"['astra', 'omen', 'brimstone', 'viper', 'sova']",1233,1.01,178.8,0.94,74%,114.7,0.63,0.48,0.07,0.07,20%,17%,771,816,586,82,88,2023,False,1.01,0.96,0.63,Pacific,Pacific,Pacific
alessia,MAD Lions KOI,107,"['killjoy', 'chamber', 'cypher', 'jett']",377,0.92,181.7,0.93,66%,125.5,0.65,0.12,0.1,0.08,31%,8%,244,263,47,37,30,2023,False,0.92,0.73,0.2,GameChangers,GameChangers,GameChangers
alexaishot,KS Hunters,107,"['kayo', 'raze', 'gekko', 'jett', 'viper']",320,1.08,212.5,1.17,69%,138.2,0.78,0.24,0.13,0.13,17%,21%,250,214,78,40,42,2023,False,1.08,0.83,0.17,GameChangers,GameChangers,GameChangers
alexis,Shopify Rebellion,487,"['skye', 'breach', 'kayo', 'sage']",986,1.1,175.1,1.08,83%,111.7,0.61,0.6,0.05,0.05,30%,13%,601,559,595,49,51,2023,False,1.1,1.01,0.97,Americas,Americas,Americas
alexis,Shopify Rebellion,487,"['skye', 'breach', 'kayo', 'sage']",986,1.1,175.1,1.08,83%,111.7,0.61,0.6,0.05,0.05,30%,13%,601,559,595,49,51,2023,False,1.1,1.01,0.97,Americas,Americas,Americas
alexis,Shopify Rebellion,487,"['skye', 'breach', 'kayo', 'sage']",986,1.1,175.1,1.08,83%,111.7,0.61,0.6,0.05,0.05,30%,13%,601,559,595,49,51,2023,False,1.1,1.01,0.97,Americas,Americas,Americas
alexis,Shopify Rebellion,487,"['skye', 'breach', 'kayo', 'sage']",986,1.1,175.1,1.08,83%,111.7,0.61,0.6,0.05,0.05,30%,13%,601,559,595,49,51,2023,False,1.1,1.01,0.97,Americas,Americas,Americas
