Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,League,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region
1kuzohh,Rebirth Esports,93,"['raze', 'jett', 'kayo', 'reyna']",323,1.19,265.4,1.2,70%,172.2,0.89,0.31,0.2,0.19,26%,11%,288,240,99,63,62,2023,Challengers,False,1.19,0.88,0.1,Americas
2766,ZOL Esports,80,"['sova', 'fade', 'omen', 'sage']",205,0.9,152.1,0.8,76%,103.0,0.55,0.4,0.03,0.05,22%,12%,112,140,83,7,11,2023,Challengers,False,0.9,0.62,0.65,Pacific
7ssk7,NASR Esports,307,"['jett', 'breach', 'reyna']",399,0.96,198.3,0.99,69%,127.1,0.7,0.16,0.15,0.14,23%,13%,280,283,63,59,54,2023,Challengers,False,0.96,0.74,0.19,EMEAS
999kvmil,EX0TIK GAMING,208,"['raze', 'jett', 'sova', 'reyna', 'kayo']",664,0.92,202.2,0.91,68%,131.5,0.7,0.22,0.15,0.14,26%,12%,465,513,149,98,93,2023,Challengers,False,0.92,0.77,0.24,EMEAS
acerola,LAZY,105,"['omen', 'viper', 'killjoy', 'sage', 'kayo']",740,1.04,188.9,0.98,71%,121.5,0.69,0.44,0.07,0.07,30%,19%,507,519,324,51,54,2023,Challengers,False,1.04,0.88,0.45,Pacific
acetics,Sharper Esport,407,"['sova', 'raze', 'fade', 'skye', 'sage']",708,0.94,182.0,0.91,72%,119.4,0.63,0.3,0.08,0.1,27%,16%,447,489,215,54,71,2023,Challengers,False,0.94,0.79,0.38,Pacific
achrf,Onyx Ravens,263,"['sova', 'breach', 'skye', 'gekko', 'viper']",469,1.09,223.3,1.04,69%,150.9,0.75,0.34,0.09,0.11,24%,15%,354,342,159,44,51,2023,Challengers,True,1.09,0.86,0.27,
acme,CNJ Esports,93,"['astra', 'skye', 'breach', 'jett', 'brimstone']",471,1.0,195.8,0.92,69%,122.7,0.69,0.42,0.05,0.07,27%,7%,327,355,196,23,34,2023,Challengers,False,1.0,0.79,0.43,Pacific
acrian,Ambrosia,388,"['killjoy', 'cypher', 'jett', 'chamber', 'viper']",517,0.97,191.8,1.01,72%,133.2,0.68,0.2,0.07,0.1,23%,10%,351,347,105,36,52,2023,Challengers,False,0.97,0.78,0.24,Americas
adm1k,Incognito,360,"['viper', 'sage', 'kayo', 'sova', 'cypher']",303,0.89,182.6,0.82,71%,118.4,0.62,0.37,0.07,0.13,27%,9%,188,229,112,20,39,2023,Challengers,True,0.89,0.65,0.48,EMEAS
adrnking,SCARZ,346,"['skye', 'breach', 'kayo', 'reyna', 'killjoy']",836,0.94,173.5,0.89,74%,110.6,0.6,0.42,0.04,0.06,27%,14%,503,568,349,30,53,2023,Challengers,False,0.94,0.81,0.59,Pacific
adverso,All Knights,331,"['sova', 'viper', 'breach', 'reyna']",481,0.95,197.8,0.91,69%,129.7,0.66,0.36,0.08,0.1,25%,16%,319,349,174,38,49,2023,Challengers,False,0.95,0.75,0.41,Americas
akashi,LAZY,299,"['sova', 'fade', 'skye', 'breach']",740,0.84,178.1,0.79,68%,117.6,0.61,0.31,0.07,0.08,24%,11%,452,569,232,49,58,2023,Challengers,False,0.84,0.71,0.42,Pacific
akumaaaaa,Mandatory,352,"['breach', 'astra', 'sova', 'omen', 'skye']",722,0.98,211.0,0.99,71%,139.0,0.75,0.29,0.14,0.15,28%,16%,540,545,209,103,107,2023,Challengers,False,0.98,0.83,0.23,
al0rante,FOKUS,282,"['raze', 'reyna', 'killjoy', 'viper', 'cypher']",503,1.12,238.4,1.21,70%,158.0,0.85,0.15,0.12,0.1,35%,10%,426,352,76,62,52,2023,Challengers,False,1.12,0.89,0.09,EMEAS
al1en,VCL REJECTS 2.0,260,"['omen', 'viper', 'astra', 'killjoy', 'brimstone']",560,1.09,206.9,1.07,76%,135.6,0.72,0.43,0.06,0.06,19%,15%,405,377,238,34,32,2023,Challengers,False,1.09,0.89,0.39,EMEAS
al7b,DRAGONS,75,"['omen', 'viper', 'astra', 'raze', 'cypher']",223,0.66,160.6,0.6,54%,110.1,0.52,0.21,0.09,0.12,24%,13%,116,194,46,21,26,2023,Challengers,False,0.66,0.46,0.42,EMEAS
alannn,NOVO Esports,108,"['killjoy', 'chamber', 'skye', 'cypher', 'raze']",326,0.81,178.5,0.76,65%,123.7,0.62,0.27,0.09,0.11,25%,11%,201,264,88,29,36,2023,Challengers,False,0.81,0.6,0.37,EMEAS
alert,XERXIA Esports,340,"['jett', 'killjoy', 'raze', 'cypher', 'sova']",1091,0.99,212.7,1.0,70%,137.7,0.74,0.24,0.16,0.16,24%,17%,811,810,262,170,168,2023,Challengers,False,0.99,0.89,0.21,Pacific
alexiiik,GoNext Esports,223,"['jett', 'raze']",1188,1.08,238.8,1.15,69%,153.8,0.85,0.15,0.2,0.18,32%,18%,1004,874,179,235,211,2023,Challengers,False,1.08,0.98,0.09,EMEAS
ale,OnlyFins,342,"['raze', 'skye', 'jett', 'reyna', 'kayo']",493,0.88,191.7,0.87,66%,125.0,0.66,0.27,0.14,0.19,23%,12%,327,377,132,68,94,2023,Challengers,False,0.88,0.7,0.32,
allen,BC SWELL,133,"['omen', 'viper', 'killjoy', 'astra', 'breach']",1346,0.88,163.2,0.85,72%,108.7,0.57,0.33,0.07,0.08,20%,17%,765,900,442,93,107,2023,Challengers,False,0.88,0.81,0.51,Pacific
almo,Zero Tenacity,288,"['killjoy', 'raze', 'viper', 'jett', 'cypher']",549,0.96,208.8,0.95,65%,142.0,0.71,0.18,0.09,0.11,25%,23%,389,409,99,52,58,2023,Challengers,False,0.96,0.78,0.2,EMEAS
alucard,iPGN,113,"['sova', 'fade', 'viper', 'omen', 'killjoy']",221,0.73,150.9,0.63,61%,106.2,0.5,0.27,0.06,0.09,20%,12%,111,175,60,14,19,2023,Challengers,False,0.73,0.51,0.53,Pacific
alyal,Team Flash,204,"['killjoy', 'viper', 'cypher', 'breach', 'jett']",654,0.96,207.0,0.93,71%,141.1,0.68,0.25,0.08,0.1,20%,9%,443,474,166,50,63,2023,Challengers,False,0.96,0.8,0.28,Pacific
ange,Maryville University,664,"['viper', 'astra', 'omen', 'raze', 'reyna']",981,1.03,186.5,0.98,74%,120.2,0.64,0.41,0.06,0.06,22%,18%,631,645,401,62,61,2023,Challengers,False,1.03,0.91,0.5,Americas
anima,HOWL Esports,161,"['skye', 'breach', 'kayo', 'sage']",263,0.89,179.9,0.78,71%,117.9,0.58,0.44,0.07,0.06,22%,9%,153,197,115,18,17,2023,Challengers,False,0.89,0.64,0.66,EMEAS
aproto,TSM,369,"['cypher', 'viper', 'killjoy', 'astra']",1027,1.03,190.7,1.06,72%,126.8,0.7,0.18,0.05,0.06,34%,20%,720,677,183,56,61,2023,Challengers,False,1.03,0.92,0.21,Americas
aqua,EX0TIK GAMING,113,"['omen', 'breach', 'sova', 'astra', 'viper']",290,0.79,148.7,0.71,67%,101.9,0.52,0.37,0.03,0.09,30%,13%,152,214,106,9,27,2023,Challengers,True,0.79,0.58,0.66,EMEAS
arch,B8 Esports,406,"['breach', 'sova', 'sage', 'viper', 'skye']",664,0.86,164.0,0.79,69%,110.9,0.57,0.28,0.06,0.08,25%,22%,380,480,189,42,53,2023,Challengers,True,0.86,0.72,0.44,EMEAS
arpoom,Team NKT,172,"['astra', 'viper', 'omen', 'brimstone', 'killjoy']",463,0.86,174.1,0.79,65%,114.9,0.6,0.3,0.06,0.09,28%,15%,280,356,137,26,41,2023,Challengers,False,0.86,0.68,0.42,Pacific
artzin,MIBR,126,"['jett', 'raze', 'neon', 'sova', 'sage']",876,0.96,207.9,0.99,70%,134.4,0.74,0.25,0.15,0.15,26%,12%,645,649,223,135,131,2023,Challengers,False,0.96,0.84,0.22,Americas
askia,Hero Base,231,"['jett', 'raze', 'breach', 'neon', 'gekko']",658,1.01,220.0,1.06,68%,150.2,0.78,0.18,0.13,0.15,20%,19%,510,480,120,84,98,2023,Challengers,False,1.01,0.84,0.14,Americas
asteriskk,Alter Ego,240,"['omen', 'sage', 'astra', 'brimstone', 'jett']",535,0.99,181.9,0.91,74%,117.6,0.61,0.54,0.06,0.08,17%,10%,329,362,287,32,42,2023,Challengers,False,0.99,0.8,0.8,Pacific
astr0,Carti World,153,"['omen', 'viper', 'astra', 'jett']",347,0.96,190.1,0.92,72%,125.9,0.68,0.34,0.05,0.06,32%,8%,237,258,118,16,22,2023,Challengers,False,0.96,0.72,0.36,Pacific
autumn,FunPlus Phoenix,348,"['jett', 'raze', 'chamber', 'cypher', 'viper']",750,1.14,233.7,1.26,71%,145.7,0.85,0.1,0.23,0.14,25%,13%,639,508,76,170,104,2023,Challengers,False,1.14,0.97,0.07,China
avez,NASR Esports,404,"['raze', 'jett', 'sova', 'viper', 'sage']",1038,1.11,224.0,1.08,75%,143.2,0.77,0.41,0.11,0.09,24%,18%,802,740,425,113,91,2023,Challengers,False,1.11,0.99,0.29,EMEAS
azury,UCAM Esports Club,243,"['viper', 'killjoy', 'omen', 'cypher', 'chamber']",833,1.01,194.1,1.06,70%,126.4,0.71,0.23,0.06,0.08,26%,15%,589,555,195,50,65,2023,Challengers,False,1.01,0.87,0.23,EMEAS
b-nhmj,Rapid Lofi,73,"['cypher', 'killjoy', 'sova', 'skye', 'gekko']",232,0.86,196.6,0.8,65%,133.2,0.67,0.22,0.05,0.09,24%,,155,194,52,11,20,2023,Challengers,False,0.86,0.6,0.26,Pacific
b0i,Talon Esports,288,"['omen', 'astra', 'kayo', 'viper', 'skye']",396,0.94,176.3,0.88,72%,115.9,0.6,0.33,0.08,0.08,23%,11%,238,269,132,31,31,2023,Challengers,False,0.94,0.72,0.46,Pacific
b1sk,ZY Gaming,376,"['jett', 'raze', 'chamber', 'cypher']",517,1.15,246.0,1.21,70%,156.2,0.87,0.17,0.25,0.17,23%,27%,452,374,86,128,86,2023,Challengers,False,1.15,0.92,0.08,China
b3ta,XERXIA Esports,424,"['omen', 'astra', 'brimstone', 'viper', 'breach']",732,1.09,184.4,1.1,79%,117.9,0.66,0.52,0.07,0.07,30%,28%,482,438,384,50,48,2023,Challengers,True,1.09,0.92,0.64,Pacific
babax,Zerance,188,"['omen', 'astra', 'viper', 'brimstone', 'fade']",570,1.02,197.9,0.99,71%,132.4,0.7,0.34,0.09,0.08,27%,19%,400,405,194,51,45,2023,Challengers,False,1.02,0.83,0.33,EMEAS
badzw,Rebirth Esports,83,"['jett', 'raze', 'viper', 'kayo', 'killjoy']",207,0.96,215.5,0.99,68%,143.1,0.73,0.23,0.18,0.25,30%,,151,153,47,37,51,2023,Challengers,False,0.96,0.66,0.21,Americas
bandicoot,TP REVEN,230,"['jett', 'omen', 'astra', 'viper', 'brimstone']",502,1.05,198.6,1.02,71%,127.7,0.7,0.41,0.06,0.06,23%,16%,349,341,208,32,31,2023,Challengers,False,1.05,0.84,0.4,Americas
banger,CREST GAMING Zst,92,"['killjoy', 'skye', 'cypher', 'sage', 'kayo']",712,0.98,194.0,1.03,68%,129.7,0.69,0.23,0.07,0.06,30%,13%,488,473,163,39,36,2023,Challengers,False,0.98,0.83,0.25,Pacific
