Player,Team,Agent,Usage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,ADPR,KAST,KPR,APR,FKPR,FDPR,Kills,Deaths,Assists,FirstBloods,FirstDeaths,Games,CleanedRating,AdjustedRating,SelflessIndex
10k,Unknown,astra,18.0,986,0.99,189.0,1.00,118.3,75%,0.65,0.33,0.07,0.07,643,643,324,70,68,45,0.99,0.74,0.51
10k,Unknown,sova,17.0,885,0.93,193.1,0.91,130.9,71%,0.66,0.29,0.07,0.06,580,638,260,60,57,44,0.93,0.68,0.44
10k,Unknown,omen,14.0,703,0.92,190.4,0.96,123.0,67%,0.66,0.33,0.08,0.09,465,483,229,54,65,35,0.92,0.65,0.5
10k,Unknown,viper,12.0,676,0.97,187.7,0.97,124.4,70%,0.67,0.26,0.07,0.09,453,465,174,46,59,30,0.97,0.68,0.39
1kuzohh,Rebirth Esports,raze,33.0,715,1.15,253.9,1.15,174.0,73%,0.86,0.21,0.17,0.17,614,534,147,118,119,35,1.15,0.82,0.24
1kuzohh,Rebirth Esports,jett,31.0,640,1.1,239.2,1.13,153.5,69%,0.83,0.19,0.21,0.20,532,469,119,137,127,33,1.1,0.77,0.23
1kuzohh,Rebirth Esports,kayo,13.0,307,1.13,220.0,1.08,139.9,73%,0.73,0.55,0.10,0.10,223,207,169,31,32,14,1.13,0.7,0.75
2766,ZOL Esports,sova,67.0,1287,1.09,190.5,1.07,122.9,74%,0.66,0.34,0.04,0.04,849,795,444,57,54,62,1.09,0.84,0.52
4woodanet,Unknown,omen,31.0,194,0.77,144.1,0.71,93.3,66%,0.5,0.36,0.05,0.08,97,137,70,10,16,9,0.77,0.44,0.72
4woodanet,Unknown,astra,17.0,105,1.09,198.8,1.07,133.5,76%,0.74,0.3,0.08,0.09,78,73,31,8,9,5,1.09,0.55,0.41
7ssk7,NASR Esports,jett,32.0,2873,1.02,217.8,1.08,137.3,69%,0.78,0.15,0.19,0.16,2231,2061,424,534,463,135,1.02,0.88,0.19
7ssk7,NASR Esports,breach,29.0,2582,1.23,200.7,1.13,129.6,80%,0.72,0.39,0.07,0.05,1867,1659,1002,182,61,122,1.23,1.04,0.54
7ssk7,NASR Esports,reyna,12.0,1056,1.12,239.4,1.22,149.1,71%,0.87,0.15,0.16,0.14,921,752,157,171,148,50,1.12,0.84,0.17
999kvmil,EX0TIK GAMING,raze,26.0,1342,1.06,235.8,1.11,152.1,72%,0.82,0.18,0.12,0.12,1098,992,248,167,158,64,1.06,0.82,0.22
999kvmil,EX0TIK GAMING,jett,19.0,955,0.97,219.0,0.99,137.8,67%,0.76,0.14,0.17,0.15,729,740,136,163,143,46,0.97,0.72,0.18
a1mly,Unknown,killjoy,51.0,3196,0.99,210.7,1.02,143.8,68%,0.73,0.17,0.11,0.11,2347,2295,530,362,356,151,0.99,0.86,0.23
a1mly,Unknown,cypher,23.0,1344,1.01,205.3,1.05,135.1,68%,0.75,0.18,0.10,0.10,1003,952,241,137,135,67,1.01,0.79,0.24
acerola,LAZY,omen,36.0,803,1.09,191.1,1.06,122.1,75%,0.7,0.48,0.07,0.07,564,531,384,53,53,40,1.09,0.79,0.69
acerola,LAZY,viper,25.0,553,1.03,204.9,1.06,134.5,72%,0.72,0.31,0.10,0.09,396,373,173,54,52,28,1.03,0.7,0.43
acerola,LAZY,killjoy,12.0,252,1.23,220.5,1.48,149.4,75%,0.84,0.16,0.08,0.05,211,143,40,21,12,13,1.23,0.73,0.19
acetics,Sharper Esport,sova,69.0,5939,1.04,201.4,1.08,131.5,72%,0.7,0.28,0.08,0.07,4180,3869,1685,466,394,286,1.04,0.98,0.4
acetics,Sharper Esport,raze,12.0,995,0.93,224.5,1.06,142.3,70%,0.77,0.18,0.10,0.11,769,726,178,101,104,50,0.93,0.69,0.23
achrf,Onyx Ravens,sova,55.0,3419,1.15,229.7,1.14,155.0,75%,0.77,0.35,0.11,0.08,2631,2313,1213,361,269,163,1.15,1.01,0.45
achrf,Onyx Ravens,breach,17.0,1111,1.03,182.9,0.95,117.8,77%,0.63,0.54,0.05,0.07,700,740,600,61,73,51,1.03,0.78,0.86
aclx,Unknown,reyna,25.0,701,0.95,219.5,0.98,143.5,68%,0.76,0.23,0.15,0.16,530,540,162,102,110,32,0.95,0.67,0.3
aclx,Unknown,raze,24.0,610,1.06,226.3,0.89,153.1,69%,0.72,0.26,0.13,0.13,441,494,160,80,72,30,1.06,0.73,0.36
aclx,Unknown,killjoy,20.0,561,1.03,218.8,1.02,152.8,72%,0.74,0.22,0.09,0.08,413,403,122,49,45,26,1.03,0.7,0.3
aclx,Unknown,sage,14.0,367,0.96,190.8,0.94,123.3,75%,0.7,0.3,0.10,0.10,256,271,110,36,36,18,0.96,0.61,0.43
acme,CNJ Esports,astra,18.0,370,1.04,191.8,1.06,123.4,71%,0.69,0.38,0.08,0.12,256,242,139,30,44,19,1.04,0.66,0.55
acme,CNJ Esports,skye,17.0,366,1.07,201.7,1.04,129.6,73%,0.72,0.39,0.06,0.07,265,254,144,21,24,18,1.07,0.68,0.54
acme,CNJ Esports,breach,12.0,236,1.16,210.7,1.02,130.4,74%,0.72,0.58,0.06,0.05,170,167,138,13,11,12,1.16,0.68,0.81
acme,CNJ Esports,jett,11.0,213,1.04,235.5,1.03,141.4,69%,0.81,0.18,0.20,0.17,172,167,38,42,36,11,1.04,0.6,0.22
acrian,Ambrosia,killjoy,50.0,4617,1.08,214.4,1.17,146.3,74%,0.76,0.2,0.08,0.07,3487,2985,908,358,333,226,1.08,0.98,0.26
acrian,Ambrosia,cypher,12.0,1162,1.0,194.3,1.03,130.1,72%,0.7,0.23,0.09,0.08,813,793,265,100,92,56,1.0,0.76,0.33
acrian,Ambrosia,jett,11.0,1047,1.06,225.5,1.12,143.6,71%,0.8,0.17,0.18,0.14,837,747,178,187,150,51,1.06,0.8,0.21
add3r,Unknown,skye,19.0,3070,0.97,201.5,1.01,130.5,70%,0.72,0.31,0.11,0.12,2220,2206,959,335,363,149,0.97,0.84,0.43
add3r,Unknown,killjoy,18.0,2901,1.04,206.7,1.12,141.1,71%,0.74,0.16,0.08,0.09,2160,1932,463,241,253,139,1.04,0.9,0.22
add3r,Unknown,kayo,14.0,2195,1.01,200.8,0.99,130.0,72%,0.7,0.43,0.09,0.11,1532,1545,938,199,234,107,1.01,0.84,0.61
add3r,Unknown,chamber,12.0,1895,1.07,228.5,1.17,146.5,70%,0.81,0.14,0.15,0.13,1543,1321,270,278,247,91,1.07,0.87,0.17
add3r,Unknown,cypher,11.0,1839,1.03,208.2,1.06,138.7,68%,0.76,0.19,0.09,0.10,1390,1306,351,157,183,89,1.03,0.84,0.25
addicted,Unknown,sova,69.0,5246,1.18,207.5,1.25,139.2,77%,0.73,0.35,0.07,0.05,3834,3071,1835,367,241,254,1.18,1.09,0.48
adm1k,Incognito,viper,19.0,1769,0.99,186.2,0.94,125.5,72%,0.63,0.3,0.07,0.08,1115,1191,538,123,149,83,0.99,0.8,0.48
adm1k,Incognito,sage,15.0,1364,0.93,192.6,0.97,119.0,72%,0.68,0.32,0.07,0.08,925,957,440,98,113,65,0.93,0.73,0.47
adm1k,Incognito,kayo,12.0,1068,1.02,192.2,0.94,124.8,75%,0.65,0.51,0.07,0.07,698,740,550,70,80,52,1.02,0.77,0.78
adrnking,SCARZ,skye,19.0,1463,1.1,206.9,1.15,133.9,76%,0.77,0.32,0.08,0.07,1123,973,465,120,96,72,1.1,0.87,0.42
