TeamId,Player,RoleStatus
1001,Boo,player
1001,MiniBoo,player
1001,Wo0t,player
1001,RieNs,player
1001,benjyfishy,player
1001,Niklas,manager
1001,neilzinho,head coach
1001,weber,coach
1001,Pablo,analyst
10042,kitkat,player
10052,ayoeclipse,player
10052,rayne,player
10052,KUDFPS,player
10052,Astrid,player
10052,Gill X2,player
10052,jules,player
10087,crush,player
10087,Accelerate,player
10087,sai,player
10087,Reddot,player
10087,Henry,player
10094,AFoxx,player
10094,N A I S,player
10094,bipo,Inactive
10094,iLka,coach
10094,gRIGUAj,assistant coach
10113,Healing,player
10113,YOME,player
10113,Ache,player
10113,YuRiHaNa,Sub
10113,fAwn,coach
10113,juri,manager
10147,Ember,player
10147,Cyb0rG,manager
10149,benzki,player
10149,IllegaL,player
10149,merix,player
10149,Howl,player
10149,Zuko,player
10182,Lou,player
10182,braeden,player
10182,Lazee,player
10188,Volt3n,manager
10188,Bromas,head coach
10188,sikako,assistant coach
10188,Kentaro,performance coach
10190,Russ,player
10190,vong,player
10190,Luzuh,player
10190,KRAY,player
10190,L1NK,player
10190,matti,head coach
10289,Cellax,player
10289,maze,player
10289,anninha,player
10289,gabi,Sub
10293,DxN,player
10293,Moosey,player
10293,LEXY,player
10293,joshh,player
10293,inf,player
10293,grumble,player
10293,Shun,player
10294,aplycs,player
10294,Impecunity,player
10294,Mojo,player
10294,Hakka,Sub
10295,zeeq,player
10295,Pecal,player
10295,toggle,player
10295,Wrath,player
10295,Rexxy,player
10295,kye,Sub
10295,Click,coach
10298,lg1c,player
10298,Alucard,player
10298,maine,player
10305,Huntr,player
10305,pyua,player
10305,fusion,player
10305,repo,player
10305,Zetik,player
10305,oj,player
10305,Mundy,player
10305,wodz,player
10307,Asce,player
10307,ubud,player
10307,ZENZKI,player
1033,aplycs,player
1033,Mojo,player
1033,Deadly10,player
1033,Garv,player
1033,ghostxD,player
1033,Megatron,manager
1033,Darkzero,coach
1034,FiNESSE,player
1034,s0m,player
1034,Ethan,player
1034,Ry,manager
1034,Tanizhq,assistant coach
10351,Berger,player
10351,wes,player
10351,Shintaro,player
10351,Aeonz,player
10351,Ichisolo,player
10351,Emil,player
10351,modeskiii,coach
10356,Haimerej,player
10356,n9sty,player
10356,altG,player
10356,magicss,player
10356,Sevy,player
10356,Yawnpeek,player
10356,Merac,manager
10364,jas0n,player
10364,Keta,player
10364,felix,player
10364,RaijuACE,player
10364,bless,player
10364,joy,manager
10370,Devan,player
10370,AJM,player
10370,aru,player
10370,Koto,player
104,BNN,player
104,JaXe,player
104,take,player
104,BRIAN,Inactive
104,muto,Inactive
104,mikke,coach
10400,Redneval,player
10400,viness,player
10400,Juu,player
10400,Daicute,player
10400,BOSS,player
10400,shouta,coach
10408,maitee,player
10408,Reality,player
10417,puggy,player
10417,SemberN,player
10417,ri4d,player
10417,Jaf,player
10417,NoBrim,manager
10421,Bonobo,player
10421,gloom,player
10421,Zauqk,player
10421,vizsla,player
10421,Kilk,analyst
10431,A1mly,player
10431,alvar,player
10431,ShawateRR,player
10431,Mabuchi,player
10431,shadow,manager
10431,Tenebra,head coach
10431,N1kL,assistant coach
10448,silenx,player
10448,Jerk,player
10448,infiltrator,player
10448,Nahsie,player
10448,komi,Sub
10448,gucc107,Inactive
10448,Branchies,staff
10454,dustyyxo,player
10454,astr0,player
10454,PickleRichard,player
10454,Yexz,player
10454,flaps,player
10454,cyber,Sub
10454,Cynd,Sub
10454,jinho,Sub
10454,NJV,head coach
10454,eugene,assistant coach
10460,Kairu,player
10460,Zuni,player
10460,Devhaur,player
10460,y3lena,player
10460,KillWill,player
10460,Delta,player
10472,daffect,player
10472,Niche,player
10472,Adamada,player
10472,Sosliver8,player
10493,Anishar,player
10493,Night,player
10493,mare,player
10493,Precyse,player
10493,SeeKaaaahh,player
10530,Lusueno,player
10530,Probably,player
10530,Nabber,player
10530,wntr,player
10592,XiaoFeng,player
10592,QueYa,player
10592,Zhannn,player
10592,yZkA1,player
10592,Awei,player
10594,edw1N,player
10594,N11,player
10594,Ezw1n,player
10594,W4DJJ,player
10594,Paxton,player
10597,YanLi,player
10597,Rainy,player
10597,ngk,player
10597,XyuS,player
10597,SecreT,player
10597,KiNo,player
10597,ChiaWei,Sub
10597,Luketw,coach
10597,XiaoShi77,assistant coach
10598,Axilus,player
10598,21May,player
10598,mocky,player
10598,Kippo,player
10598,tackle,player
10598,ZhiXuan,player
106,seven,player
106,gMd,player
106,sym,player
106,POISED,player
106,aproto,player
106,Faded,coach
10603,Wolverine,player
10603,stew,player
10603,empty,player
10603,yoman,player
10603,Banger,player
10606,SITE,player
10606,MK,player
10606,Nikumanyaro,player
10606,Ippanjinnoarare,player
10634,DVDOV,player
10634,aimhunterr,player
10634,TTyke,player
10634,bucher1,player
10639,autumn,player
10639,miwa,player
10639,Mcfly,player
10639,Hinataa,player
10639,vaL,player
10639,kuiM,player
10639,ezNow,coach
10645,ELLEFPS,player
10645,KUDFPS,player
10645,ari,player
10645,Ames,player
10645,Jas,player
10697,Stirfryrai,player
10697,Geese,player
10697,s2p,player
10697,GAMESTORE,player
10697,Crispy,player
10697,Mazepti,player
10700,HydraKid,player
10700,vblack,player
10700,slathom999,player
10700,Rababz,player
10700,Asta,player
10700,exotic,player
10700,ChaoFan,manager
10700,Anakin,manager
10700,Jayayay,coach
10713,flyuh,player
10713,thief,player
10713,aproto,player
10713,sym,player
10713,brawk,player
10713,Apex,manager
10713,Tanizhq,coach
10725,mitch,player
10725,skuba,player
10725,Verno,player
10725,Reduxx,player
10725,dapr,player
10725,wrap,manager
10725,bonkar,head coach
10725,Rustun,assistant coach
10727,xenom,player
10727,guuih,player
10727,Siduzord,player
10727,PxS,player
10727,nicksz,player
10727,moura,head coach
10727,Froggie,assistant coach
10735,Fatmarino,player
10735,mNdS,player
10735,xenom,player
10735,cortezia,player
10735,v1nny,player
10735,panique,head coach
10735,zezao,analyst
10755,Urango,player
10755,rood,player
10755,Evilkyk,player
10755,lukxo,player
10755,Sato,player
10755,DRAGziKW,Sub
10755,hide,Sub
10755,shaW,coach
10895,Viv,player
10895,6sonya,player
10895,fluxxy,player
10895,angelka,player
10895,Samsi,player
10895,jHAHAk,assistant coach
10915,oranges,player
10915,venus,player
10915,aria,player
10915,Raven,player
10915,calsushi,player
10966,Kasche1x,player
10966,draystar,player
10966,PapaSmurf,player
10977,Crescent,player
10977,Kayros,player
10977,ADRENALINE,player
10977,drenzn,player
10979,SHINSEI,player
10979,Oszair,manager
10979,Evo,coach
