TeamId,Name,Country,Wins,Loses,Winrate,GameChangerWins,GameChangerLoses,Region,Status
1001,Team Heretics,Europe,53,6,0.898,N/A,N/A,EMEAS,Active
10042,Colossal Black,United States,2,6,0.25,2,6,Americas,Active
10052,REVIVAL,United States,11,8,0.579,11,8,Americas,Inactive
10087,Team Digital,Canada,5,6,0.455,N/A,N/A,Americas,Active
10094,GMT Esports,Italy,93,34,0.732,N/A,N/A,EMEAS,Inactive
10113,DRX Changers,Japan,8,4,0.667,8,4,Pacific,Active
10147,Gods Reign,India,19,11,0.633,N/A,N/A,Pacific,Inactive
10149,K10,United Kingdom,N/A,N/A,N/A,N/A,N/A,EMEAS,Active
10182,Final Form Entertainment,United States,4,3,0.571,N/A,N/A,Americas,Active
10188,VALIANT,France,N/A,N/A,N/A,N/A,N/A,EMEAS,Active
10190,Les Petits Bouffons,United Kingdom,30,14,0.682,N/A,N/A,EMEAS,Inactive
10289,bb.w7m,Brazil,2,2,0.5,2,2,Americas,Active
10293,Bikini Bottom Pratahouse,Singapore,N/A,N/A,N/A,N/A,N/A,Pacific,Inactive
10294,NEXGA,Malaysia,18,11,0.621,N/A,N/A,Pacific,Inactive
10295,Team Path,Malaysia,8,14,0.364,N/A,N/A,Pacific,Inactive
10298,xyz,Australia,7,8,0.467,N/A,N/A,Pacific,Inactive
10305,club penguin,Australia,14,14,0.5,N/A,N/A,Pacific,Active
10307,Built For Greatness,Australia,51,24,0.68,N/A,N/A,Pacific,Inactive
1033,Reckoning Esports,India,11,13,0.458,N/A,N/A,Pacific,Active
1034,NRG Esports,United States,98,41,0.705,N/A,N/A,Americas,Active
10351,Vipers Clan,Philippines,N/A,N/A,N/A,N/A,N/A,Pacific,Inactive
10356,AIM PH,Philippines,5,11,0.312,N/A,N/A,Pacific,Active
10364,Des Moines DMG,United States,N/A,N/A,N/A,N/A,N/A,Americas,Inactive
10370,Chosen 1s,United States,10,20,0.333,N/A,N/A,Americas,Active
104,REJECT,Japan,46,32,0.59,N/A,N/A,Pacific,Active
10400,Tim Tài Trơ,Vietnam,18,8,0.692,N/A,N/A,Pacific,Inactive
10408,CRIT Esports,Thailand,N/A,N/A,N/A,N/A,N/A,Pacific,Inactive
10417,Formulation Gaming,Europe,6,5,0.545,N/A,N/A,EMEAS,Active
10421,The Who?,Australia,9,4,0.692,N/A,N/A,Pacific,Inactive
10431,Underground Gaming,Jordan,18,11,0.621,N/A,N/A,EMEAS,Inactive
10448,Winthrop University,United States,1,2,0.333,N/A,N/A,Americas,Active
10454,UMD Premier,United States,1,2,0.333,N/A,N/A,Americas,Active
10460,Full Sail Armada,United States,N/A,N/A,N/A,N/A,N/A,Americas,Active
10472,ODU Monarchs,United States,N/A,N/A,N/A,N/A,N/A,Americas,Active
10493,Niner Esports,United States,0,3,0.0,N/A,N/A,Americas,Active
